2021-04-08 11:54:29.714842 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populating workers...
2021-04-08 11:54:29.715081 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populated
2021-04-08 11:54:29.715231 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populating workers...
2021-04-08 11:54:29.715396 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populated
2021-04-08 11:54:29.715501 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populating workers...
2021-04-08 11:54:29.715602 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populated
2021-04-08 11:54:29.715701 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populating workers...
2021-04-08 11:54:29.715803 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populated
2021-04-08 11:54:29.715902 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populating workers...
2021-04-08 11:54:29.715999 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populated
2021-04-08 11:54:29.716099 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populating workers...
2021-04-08 11:54:29.716198 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populated
2021-04-08 11:54:29.716298 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populating workers...
2021-04-08 11:54:29.716395 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populated
2021-04-08 11:54:29.716543 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populating workers...
2021-04-08 11:54:29.716641 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populated
2021-04-08 11:54:29.716741 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populating workers...
2021-04-08 11:54:29.716838 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populated
2021-04-08 11:54:29.716935 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populating workers...
2021-04-08 11:54:29.717031 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populated
2021-04-08 11:54:34.440724 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #0 | fitting baseline...
2021-04-08 11:54:34.464246 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #0 | fitted
2021-04-08 11:54:34.473213 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #0 | fitting baseline...
2021-04-08 11:54:34.476208 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #0 | fitted
2021-04-08 11:54:34.482493 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #0 | fitting baseline...
2021-04-08 11:54:34.483945 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #0 | fitted
2021-04-08 11:54:34.487354 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #0 | fitting baseline...
2021-04-08 11:54:34.488664 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #0 | fitted
2021-04-08 11:54:34.492521 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #0 | fitting baseline...
2021-04-08 11:54:34.494042 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #0 | fitted
2021-04-08 11:54:34.497190 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #0 | fitting baseline...
2021-04-08 11:54:34.498513 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #0 | fitted
2021-04-08 11:54:34.502178 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #0 | fitting baseline...
2021-04-08 11:54:34.503662 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #0 | fitted
2021-04-08 11:54:34.507218 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #0 | fitting baseline...
2021-04-08 11:54:34.508596 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #0 | fitted
2021-04-08 11:54:34.511708 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #0 | fitting baseline...
2021-04-08 11:54:34.512954 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #0 | fitted
2021-04-08 11:54:34.516852 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #0 | fitting baseline...
2021-04-08 11:54:34.518384 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #0 | fitted
2021-04-08 11:54:39.593037 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #1 | fitting baseline...
2021-04-08 11:54:39.596006 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #1 | fitted
2021-04-08 11:54:39.602263 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #1 | fitting baseline...
2021-04-08 11:54:39.605145 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #1 | fitted
2021-04-08 11:54:39.610743 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #1 | fitting baseline...
2021-04-08 11:54:39.612190 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #1 | fitted
2021-04-08 11:54:39.615651 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #1 | fitting baseline...
2021-04-08 11:54:39.617061 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #1 | fitted
2021-04-08 11:54:39.619914 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #1 | fitting baseline...
2021-04-08 11:54:39.621116 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #1 | fitted
2021-04-08 11:54:39.624424 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #1 | fitting baseline...
2021-04-08 11:54:39.625794 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #1 | fitted
2021-04-08 11:54:39.629032 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #1 | fitting baseline...
2021-04-08 11:54:39.630391 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #1 | fitted
2021-04-08 11:54:39.633822 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #1 | fitting baseline...
2021-04-08 11:54:39.635228 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #1 | fitted
2021-04-08 11:54:39.638676 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #1 | fitting baseline...
2021-04-08 11:54:39.640106 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #1 | fitted
2021-04-08 11:54:39.643894 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #1 | fitting baseline...
2021-04-08 11:54:39.645478 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #1 | fitted
2021-04-08 11:54:41.200545 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #2 | fitting baseline...
2021-04-08 11:54:41.201818 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #2 | fitted
2021-04-08 11:54:41.204609 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #2 | fitting baseline...
2021-04-08 11:54:41.205710 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #2 | fitted
2021-04-08 11:54:41.208070 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #2 | fitting baseline...
2021-04-08 11:54:41.209106 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #2 | fitted
2021-04-08 11:54:41.211732 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #2 | fitting baseline...
2021-04-08 11:54:41.212796 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #2 | fitted
2021-04-08 11:54:41.215924 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #2 | fitting baseline...
2021-04-08 11:54:41.217152 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #2 | fitted
2021-04-08 11:54:41.219941 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #2 | fitting baseline...
2021-04-08 11:54:41.221113 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #2 | fitted
2021-04-08 11:54:41.223775 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #2 | fitting baseline...
2021-04-08 11:54:41.224982 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #2 | fitted
2021-04-08 11:54:41.227858 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #2 | fitting baseline...
2021-04-08 11:54:41.228978 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #2 | fitted
2021-04-08 11:54:41.232143 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #2 | fitting baseline...
2021-04-08 11:54:41.233335 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #2 | fitted
2021-04-08 11:54:41.236222 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #2 | fitting baseline...
2021-04-08 11:54:41.237467 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #2 | fitted
2021-04-08 11:54:42.962357 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #3 | fitting baseline...
2021-04-08 11:54:42.963701 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #3 | fitted
2021-04-08 11:54:42.966890 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #3 | fitting baseline...
2021-04-08 11:54:42.968305 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #3 | fitted
2021-04-08 11:54:42.971503 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #3 | fitting baseline...
2021-04-08 11:54:42.972840 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #3 | fitted
2021-04-08 11:54:42.975904 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #3 | fitting baseline...
2021-04-08 11:54:42.977193 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #3 | fitted
2021-04-08 11:54:42.980266 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #3 | fitting baseline...
2021-04-08 11:54:42.981547 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #3 | fitted
2021-04-08 11:54:42.984235 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #3 | fitting baseline...
2021-04-08 11:54:42.985418 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #3 | fitted
2021-04-08 11:54:42.989632 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #3 | fitting baseline...
2021-04-08 11:54:42.991381 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #3 | fitted
2021-04-08 11:54:42.995356 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #3 | fitting baseline...
2021-04-08 11:54:42.996758 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #3 | fitted
2021-04-08 11:54:43.000079 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #3 | fitting baseline...
2021-04-08 11:54:43.001417 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #3 | fitted
2021-04-08 11:54:43.004060 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #3 | fitting baseline...
2021-04-08 11:54:43.005116 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] itr #3 | fitted
