2021-04-08 16:01:16.246977 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populating workers...
2021-04-08 16:01:16.247283 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populated
2021-04-08 16:01:16.247416 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populating workers...
2021-04-08 16:01:16.247539 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populated
2021-04-08 16:01:16.247661 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populating workers...
2021-04-08 16:01:16.247788 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populated
2021-04-08 16:01:16.247908 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populating workers...
2021-04-08 16:01:16.248029 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populated
2021-04-08 16:01:16.248167 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populating workers...
2021-04-08 16:01:16.248293 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populated
2021-04-08 16:01:16.248427 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populating workers...
2021-04-08 16:01:16.248559 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populated
2021-04-08 16:01:16.248681 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populating workers...
2021-04-08 16:01:16.248797 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populated
2021-04-08 16:01:16.248914 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populating workers...
2021-04-08 16:01:16.249030 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populated
2021-04-08 16:01:16.249147 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populating workers...
2021-04-08 16:01:16.249274 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populated
2021-04-08 16:01:16.249405 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populating workers...
2021-04-08 16:01:16.249531 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populated
2021-04-08 16:01:20.486043 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #0 | fitting baseline...
2021-04-08 16:01:20.508363 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #0 | fitted
2021-04-08 16:01:20.520287 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #0 | fitting baseline...
2021-04-08 16:01:20.522513 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #0 | fitted
2021-04-08 16:01:20.527605 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #0 | fitting baseline...
2021-04-08 16:01:20.529686 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #0 | fitted
2021-04-08 16:01:20.534096 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #0 | fitting baseline...
2021-04-08 16:01:20.535909 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #0 | fitted
2021-04-08 16:01:20.541215 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #0 | fitting baseline...
2021-04-08 16:01:20.545024 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #0 | fitted
2021-04-08 16:01:20.553346 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #0 | fitting baseline...
2021-04-08 16:01:20.556505 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #0 | fitted
2021-04-08 16:01:20.560955 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #0 | fitting baseline...
2021-04-08 16:01:20.562744 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #0 | fitted
2021-04-08 16:01:20.566557 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #0 | fitting baseline...
2021-04-08 16:01:20.568086 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #0 | fitted
2021-04-08 16:01:20.571410 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #0 | fitting baseline...
2021-04-08 16:01:20.572880 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #0 | fitted
