2021-04-09 09:47:12.017893 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populating workers...
2021-04-09 09:47:12.018180 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populated
2021-04-09 09:47:12.018325 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populating workers...
2021-04-09 09:47:12.018457 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populated
2021-04-09 09:47:12.018590 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populating workers...
2021-04-09 09:47:12.018719 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populated
2021-04-09 09:47:12.018850 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populating workers...
2021-04-09 09:47:12.018975 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populated
2021-04-09 09:47:12.019102 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populating workers...
2021-04-09 09:47:12.019222 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populated
2021-04-09 09:47:12.019346 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populating workers...
2021-04-09 09:47:12.019469 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populated
2021-04-09 09:47:12.019593 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populating workers...
2021-04-09 09:47:12.019717 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populated
2021-04-09 09:47:12.019841 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populating workers...
2021-04-09 09:47:12.019965 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populated
2021-04-09 09:47:12.020089 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populating workers...
2021-04-09 09:47:12.020214 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populated
2021-04-09 09:47:12.020340 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populating workers...
2021-04-09 09:47:12.020460 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populated
2021-04-09 09:47:16.558728 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #0 | fitting baseline...
2021-04-09 09:47:16.582910 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #0 | fitted
2021-04-09 09:47:16.594686 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #0 | fitting baseline...
2021-04-09 09:47:16.596923 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #0 | fitted
2021-04-09 09:47:16.602293 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #0 | fitting baseline...
2021-04-09 09:47:16.604281 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #0 | fitted
2021-04-09 09:47:16.608181 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #0 | fitting baseline...
2021-04-09 09:47:16.609768 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #0 | fitted
2021-04-09 09:47:16.617586 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #0 | fitting baseline...
2021-04-09 09:47:16.620183 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #0 | fitted
2021-04-09 09:47:16.623600 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #0 | fitting baseline...
2021-04-09 09:47:16.624952 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #0 | fitted
2021-04-09 09:47:16.628635 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #0 | fitting baseline...
2021-04-09 09:47:16.630337 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #0 | fitted
2021-04-09 09:47:16.633558 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #0 | fitting baseline...
2021-04-09 09:47:16.634900 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #0 | fitted
2021-04-09 09:47:16.638100 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #0 | fitting baseline...
2021-04-09 09:47:16.639386 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #0 | fitted
2021-04-09 09:47:16.642865 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #0 | fitting baseline...
2021-04-09 09:47:16.644294 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #0 | fitted
2021-04-09 09:47:21.426441 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #1 | fitting baseline...
2021-04-09 09:47:21.427598 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #1 | fitted
2021-04-09 09:47:21.431213 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #1 | fitting baseline...
2021-04-09 09:47:21.432630 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #1 | fitted
2021-04-09 09:47:21.435273 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #1 | fitting baseline...
2021-04-09 09:47:21.436346 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #1 | fitted
2021-04-09 09:47:21.439549 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #1 | fitting baseline...
2021-04-09 09:47:21.440830 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #1 | fitted
2021-04-09 09:47:21.443953 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #1 | fitting baseline...
2021-04-09 09:47:21.445158 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #1 | fitted
2021-04-09 09:47:21.448137 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #1 | fitting baseline...
2021-04-09 09:47:21.449353 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #1 | fitted
2021-04-09 09:47:21.452376 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #1 | fitting baseline...
2021-04-09 09:47:21.453653 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #1 | fitted
2021-04-09 09:47:21.457010 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #1 | fitting baseline...
2021-04-09 09:47:21.458439 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #1 | fitted
2021-04-09 09:47:21.461509 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #1 | fitting baseline...
2021-04-09 09:47:21.462853 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #1 | fitted
2021-04-09 09:47:21.465960 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #1 | fitting baseline...
2021-04-09 09:47:21.467204 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #1 | fitted
2021-04-09 09:47:22.924944 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #2 | fitting baseline...
2021-04-09 09:47:22.926100 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #2 | fitted
2021-04-09 09:47:22.928407 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #2 | fitting baseline...
2021-04-09 09:47:22.929369 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #2 | fitted
2021-04-09 09:47:22.931684 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #2 | fitting baseline...
2021-04-09 09:47:22.932632 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #2 | fitted
2021-04-09 09:47:22.934881 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #2 | fitting baseline...
2021-04-09 09:47:22.935829 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #2 | fitted
2021-04-09 09:47:22.938290 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #2 | fitting baseline...
2021-04-09 09:47:22.939298 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #2 | fitted
2021-04-09 09:47:22.941379 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #2 | fitting baseline...
2021-04-09 09:47:22.942280 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #2 | fitted
2021-04-09 09:47:22.944740 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #2 | fitting baseline...
2021-04-09 09:47:22.945803 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #2 | fitted
2021-04-09 09:47:22.948171 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #2 | fitting baseline...
2021-04-09 09:47:22.949219 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #2 | fitted
2021-04-09 09:47:22.951894 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #2 | fitting baseline...
2021-04-09 09:47:22.953062 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #2 | fitted
2021-04-09 09:47:22.955843 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #2 | fitting baseline...
2021-04-09 09:47:22.957104 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #2 | fitted
2021-04-09 09:47:24.558723 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #3 | fitting baseline...
2021-04-09 09:47:24.560139 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #3 | fitted
2021-04-09 09:47:24.562338 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #3 | fitting baseline...
2021-04-09 09:47:24.563322 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #3 | fitted
2021-04-09 09:47:24.566292 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #3 | fitting baseline...
2021-04-09 09:47:24.567443 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #3 | fitted
2021-04-09 09:47:24.570215 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #3 | fitting baseline...
2021-04-09 09:47:24.571408 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #3 | fitted
2021-04-09 09:47:24.573600 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #3 | fitting baseline...
2021-04-09 09:47:24.574511 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #3 | fitted
2021-04-09 09:47:24.577014 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #3 | fitting baseline...
2021-04-09 09:47:24.578116 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #3 | fitted
2021-04-09 09:47:24.580402 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #3 | fitting baseline...
2021-04-09 09:47:24.581316 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #3 | fitted
2021-04-09 09:47:24.583792 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #3 | fitting baseline...
2021-04-09 09:47:24.584845 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #3 | fitted
2021-04-09 09:47:24.587025 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #3 | fitting baseline...
2021-04-09 09:47:24.587897 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #3 | fitted
2021-04-09 09:47:24.589713 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #3 | fitting baseline...
2021-04-09 09:47:24.590536 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #3 | fitted
2021-04-09 09:47:26.067445 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #4 | fitting baseline...
2021-04-09 09:47:26.068396 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #4 | fitted
2021-04-09 09:47:26.070062 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #4 | fitting baseline...
2021-04-09 09:47:26.070811 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #4 | fitted
2021-04-09 09:47:26.072509 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #4 | fitting baseline...
2021-04-09 09:47:26.073279 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #4 | fitted
2021-04-09 09:47:26.074982 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #4 | fitting baseline...
2021-04-09 09:47:26.075736 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #4 | fitted
2021-04-09 09:47:26.077172 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #4 | fitting baseline...
2021-04-09 09:47:26.077844 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #4 | fitted
2021-04-09 09:47:26.079718 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #4 | fitting baseline...
2021-04-09 09:47:26.080540 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #4 | fitted
2021-04-09 09:47:26.082341 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #4 | fitting baseline...
2021-04-09 09:47:26.083135 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #4 | fitted
2021-04-09 09:47:26.084719 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #4 | fitting baseline...
2021-04-09 09:47:26.085573 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #4 | fitted
2021-04-09 09:47:26.087334 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #4 | fitting baseline...
2021-04-09 09:47:26.088116 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #4 | fitted
2021-04-09 09:47:26.089669 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #4 | fitting baseline...
2021-04-09 09:47:26.090384 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #4 | fitted
2021-04-09 09:47:27.580529 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #5 | fitting baseline...
2021-04-09 09:47:27.581402 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #5 | fitted
2021-04-09 09:47:27.583004 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #5 | fitting baseline...
2021-04-09 09:47:27.583799 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #5 | fitted
2021-04-09 09:47:27.585496 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #5 | fitting baseline...
2021-04-09 09:47:27.586302 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #5 | fitted
2021-04-09 09:47:27.587959 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #5 | fitting baseline...
2021-04-09 09:47:27.588680 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #5 | fitted
2021-04-09 09:47:27.590314 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #5 | fitting baseline...
2021-04-09 09:47:27.591053 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #5 | fitted
2021-04-09 09:47:27.592595 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #5 | fitting baseline...
2021-04-09 09:47:27.593287 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #5 | fitted
2021-04-09 09:47:27.594732 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #5 | fitting baseline...
2021-04-09 09:47:27.595390 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #5 | fitted
2021-04-09 09:47:27.596910 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #5 | fitting baseline...
2021-04-09 09:47:27.597581 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #5 | fitted
2021-04-09 09:47:27.599268 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #5 | fitting baseline...
2021-04-09 09:47:27.600069 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #5 | fitted
2021-04-09 09:47:27.601855 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #5 | fitting baseline...
2021-04-09 09:47:27.602682 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #5 | fitted
2021-04-09 09:47:27.632513 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #5 | saving snapshot...
2021-04-09 09:47:27.637680 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #5 | saved
2021-04-09 09:47:27.659455 CEST | -----------------------  ---------------
2021-04-09 09:47:27.659679 CEST | Iteration                    0
2021-04-09 09:47:27.659899 CEST | AverageDiscountedReturn     72.1238
2021-04-09 09:47:27.660072 CEST | AverageReturn               75.9128
2021-04-09 09:47:27.660235 CEST | ExplainedVariance            4.28979e-12
2021-04-09 09:47:27.660395 CEST | NumTrajs                    47
2021-04-09 09:47:27.660554 CEST | Entropy                      1.41894
2021-04-09 09:47:27.660724 CEST | Perplexity                   4.13273
